year,title,class,filename,url
2019,CLEVRER: CoLlision Events for Video REpresentation and Reasoning,DATA-BNCH,CLEVRER- CoLlision Events for Video REpresentation and Reasoning.pdf,https://arxiv.org/abs/1910.01442
2021,NExT-QA: Next Phase of Question-Answering to Explaining Temporal Actions,DATA-BNCH,NExT-QA- Next Phase of Question-Answering to Explaining Temporal Actions.pdf,https://openaccess.thecvf.com/content/CVPR2021/papers/Xiao_NExT-QA_Next_Phase_of_Question-Answering_to_Explaining_Temporal_Actions_CVPR_2021_paper.pdf
2017,TGIF-QA: Toward Spatio-Temporal Reasoning in Visual Question Answering,DATA-BNCH,TGIF-QA- Toward Spatio-Temporal Reasoning in Visual Question Answering.pdf,https://arxiv.org/abs/1704.04497
2020,TVQA+: Spatio-Temporal Grounding for Video Question Answering,DATA-BNCH,TVQA+- Spatio-Temporal Grounding for Video Question Answering.pdf,https://aclanthology.org/2020.acl-main.730.pdf
2022,CLEVRER-Humans: Describing Physical and Causal Events the Human Way,DATA-BNCH,CLEVRER-Humans- Describing Physical and Causal Events the Human Way.pdf,https://openreview.net/pdf?id=sd1fv0g3UO1
2025,A Machine Learning Approach That Beats Large Rubik's Cubes,UNCLASSIFIED,A Machine Learning Approach That Beats Large Rubik's Cubes.pdf,https://arxiv.org/abs/2502.13266
2018,Solving the puzzle cube with deep reinforcement learning,UNCLASSIFIED,Solving the puzzle cube with deep reinforcement learning.pdf,https://github.com/jasonrute/puzzle_cube
2024,STaR: Benchmarking Spatio-Temporal Reasoning for Systematic Generalization,DATA-BNCH,STaR- Benchmarking Spatio-Temporal Reasoning for Systematic Generalization.pdf,https://openreview.net/pdf?id=M7pFDngBgm
2025,USTBench: Benchmarking and Dissecting Spatiotemporal Reasoning of LLMs as Urban Agents,DATA-BNCH,USTBench- Benchmarking and Dissecting Spatiotemporal Reasoning of LLMs as Urban Agents.pdf,https://arxiv.org/abs/2505.17572
