path,filename,class
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/FlashAttention-2- Faster Attention with Better Parallelism and Work Partitioning.md,FlashAttention-2- Faster Attention with Better Parallelism and Work Partitioning,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Least-Squares Policy Iteration (LSPI).md,Least-Squares Policy Iteration (LSPI),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Length Extrapolation of Transformers- A Survey from the Perspective of Positional Encoding.md,Length Extrapolation of Transformers- A Survey from the Perspective of Positional Encoding,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/DiffusionDet- Diffusion Model for Object Detection.md,DiffusionDet- Diffusion Model for Object Detection,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Scaling Transformer-Based Novel View Synthesis with Models Token Disentanglement and Synthetic Data.md,Scaling Transformer-Based Novel View Synthesis with Models Token Disentanglement and Synthetic Data,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Order Matters- Sequence to sequence for sets.md,Order Matters- Sequence to sequence for sets,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Mastering diverse control tasks through world models (DreamerV3).md,Mastering diverse control tasks through world models (DreamerV3),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Per-Pixel Classification is Not All You Need for Semantic Segmentation (MaskFormer).md,Per-Pixel Classification is Not All You Need for Semantic Segmentation (MaskFormer),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Human-level Control through Deep Reinforcement Learning (DQN).md,Human-level Control through Deep Reinforcement Learning (DQN),5
"/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play.md","TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play",5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.md,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Accelerating Search-Based Program Synthesis using Learned Probabilistic Models (Euphony).md,Accelerating Search-Based Program Synthesis using Learned Probabilistic Models (Euphony),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Neural Fitted Q Iteration (NFQ).md,Neural Fitted Q Iteration (NFQ),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Relative Entropy Policy Search (REPS).md,Relative Entropy Policy Search (REPS),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Lost in the Middle- How Language Models Use Long Contexts.md,Lost in the Middle- How Language Models Use Long Contexts,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/AI Feynman.md,AI Feynman,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Learning Explanatory Rules from Noisy Data - Differentiable ILP (dILP).md,Learning Explanatory Rules from Noisy Data - Differentiable ILP (dILP),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/QLoRA- Efficient Finetuning of Quantized LLMs.md,QLoRA- Efficient Finetuning of Quantized LLMs,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Jacobian-Free Backpropagation for Implicit Networks (JFB).md,Jacobian-Free Backpropagation for Implicit Networks (JFB),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Sharpness-Aware Minimization for Efficiently Improving Generalization (SAM).md,Sharpness-Aware Minimization for Efficiently Improving Generalization (SAM),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/SegPoint- Segment Any Point Cloud via Large Language Model.md,SegPoint- Segment Any Point Cloud via Large Language Model,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Spherical Mask- Coarse-to-Fine 3D Point Cloud Instance Segmentation with Spherical Representation.md,Spherical Mask- Coarse-to-Fine 3D Point Cloud Instance Segmentation with Spherical Representation,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Recurrent Experience Replay in Distributed Reinforcement Learning (R2D2).md,Recurrent Experience Replay in Distributed Reinforcement Learning (R2D2),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/A Neural Probabilistic Language Model.md,A Neural Probabilistic Language Model,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Just-in-Time Learning for Bottom-Up Enumerative Synthesis (PROBE).md,Just-in-Time Learning for Bottom-Up Enumerative Synthesis (PROBE),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/R-PRM- Reasoning-Driven Process Reward Modeling.md,R-PRM- Reasoning-Driven Process Reward Modeling,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Repeated Examples Help Learn Arithmetic.md,Repeated Examples Help Learn Arithmetic,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Distributed Representations of Words and Phrases and their Compositionality.md,Distributed Representations of Words and Phrases and their Compositionality,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Constitutional AI- Harmlessness from AI Feedback.md,Constitutional AI- Harmlessness from AI Feedback,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Muesli- Combining Improvements in Policy Optimization.md,Muesli- Combining Improvements in Policy Optimization,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Neuronlike Adaptive Elements That Can Solve Difficult Learning Control Problems.md,Neuronlike Adaptive Elements That Can Solve Difficult Learning Control Problems,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Learning Representations by Back-Propagating Errors.md,Learning Representations by Back-Propagating Errors,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Tree-Based Batch Mode Reinforcement Learning.md,Tree-Based Batch Mode Reinforcement Learning,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/How Much Position Information Do Convolutional Neural Networks Encode-.md,How Much Position Information Do Convolutional Neural Networks Encode-,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Actor-Critic Algorithms.md,Actor-Critic Algorithms,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Rethinking Visual Intelligence- Insights from Video Pretraining.md,Rethinking Visual Intelligence- Insights from Video Pretraining,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/A Fast Learning Algorithm for Deep Belief Nets.md,A Fast Learning Algorithm for Deep Belief Nets,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Auto-Encoding Variational Bayes (VAE).md,Auto-Encoding Variational Bayes (VAE),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/How Can Self-Attention Networks Recognize Dyck-n Languages-.md,How Can Self-Attention Networks Recognize Dyck-n Languages-,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/A Natural Policy Gradient.md,A Natural Policy Gradient,5
